"from","to","edge_type"
"IL4","MAPK3","sig_sig"
"IL4","MAPK8","sig_sig"
"IL4","MAPK9","sig_sig"
"IL4","MGP","sig_sig"
"IL4","MGST1","sig_sig"
"IL4","MMP2","sig_sig"
"IL4","NAIP","sig_sig"
"IL4","NFKB1","sig_tf"
"IL4","NFKBIA","sig_sig"
"IL4","ORAI1","sig_sig"
"IL4","P2RX7","sig_sig"
"IL4","PAFAH1B1","sig_sig"
"IL4","PAM","sig_sig"
"IL4","PARG","sig_sig"
"IL4","PARP1","sig_sig"
"IL4","PCDH19","sig_sig"
"IL4","PDE4B","sig_sig"
"IL4","PICK1","sig_sig"
"IL4","PIK3CA","sig_sig"
"IL4","PLA2G2A","sig_sig"
"IL4","PLSCR1","sig_tf"
